"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to choose return date","2025","return date selection Test","tests","Thu Aug 21 08:26:32 UTC 2025","broken","Thu Aug 21 08:26:34 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","1012","Country Change Test","tests","Thu Aug 21 08:26:06 UTC 2025","broken","Thu Aug 21 08:26:07 UTC 2025","TestClass","currency_test","",""
"Test to order economy ticket","5034","economy ticket order Test","tests","Thu Aug 21 08:26:40 UTC 2025","broken","Thu Aug 21 08:26:45 UTC 2025","TestClass","mainpage_test","",""
"Test to check incorrect booking code","1012","incorrect booking Test","tests","Thu Aug 21 08:26:55 UTC 2025","broken","Thu Aug 21 08:26:56 UTC 2025","TestClass","sign_in_test","",""
"Test to select multiple cities","1025","Multiple cities selection Test","tests","Thu Aug 21 08:26:52 UTC 2025","broken","Thu Aug 21 08:26:53 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure and return dates","2023","departure and return dates selection Test","tests","Thu Aug 21 08:26:34 UTC 2025","broken","Thu Aug 21 08:26:36 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","2026","origin selection Test","tests","Thu Aug 21 08:26:25 UTC 2025","broken","Thu Aug 21 08:26:27 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","2024","switching location selection Test","tests","Thu Aug 21 08:26:49 UTC 2025","broken","Thu Aug 21 08:26:52 UTC 2025","TestClass","mainpage_test","",""
"Test to choose destination","2025","Destination selection Test","tests","Thu Aug 21 08:26:27 UTC 2025","broken","Thu Aug 21 08:26:29 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","2023","business class ticket selection Test","tests","Thu Aug 21 08:26:47 UTC 2025","broken","Thu Aug 21 08:26:49 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","2023","premium class ticket selection Test","tests","Thu Aug 21 08:26:45 UTC 2025","broken","Thu Aug 21 08:26:47 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","2056","class ticket selection Test","tests","Thu Aug 21 08:26:20 UTC 2025","broken","Thu Aug 21 08:26:22 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","1014","Links check Test","tests","Thu Aug 21 08:26:12 UTC 2025","broken","Thu Aug 21 08:26:13 UTC 2025","TestClass","mainpage_test","",""
"Test to check cookie customization and retrieval","4016","Cookie Customization Test","tests","Thu Aug 21 08:26:07 UTC 2025","broken","Thu Aug 21 08:26:11 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","2025","departure date selection Test","tests","Thu Aug 21 08:26:29 UTC 2025","broken","Thu Aug 21 08:26:31 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","2022","Order first class ticket Test","tests","Thu Aug 21 08:26:38 UTC 2025","broken","Thu Aug 21 08:26:40 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","2023","cancel departure and return dates selection Test","tests","Thu Aug 21 08:26:36 UTC 2025","broken","Thu Aug 21 08:26:38 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","3035","passengers ticket selection Test","tests","Thu Aug 21 08:26:22 UTC 2025","failed","Thu Aug 21 08:26:25 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","1013","wrong format signup Test","tests","Thu Aug 21 08:26:54 UTC 2025","broken","Thu Aug 21 08:26:55 UTC 2025","TestClass","sign_in_test","",""
"Test to check failed sign up with incorrect email","1015","failed signup Test","tests","Thu Aug 21 08:26:53 UTC 2025","broken","Thu Aug 21 08:26:54 UTC 2025","TestClass","sign_in_test","",""
"Test to check coin change","1689","Coin Change Test","tests","Thu Aug 21 08:26:04 UTC 2025","broken","Thu Aug 21 08:26:06 UTC 2025","TestClass","currency_test","",""
"Test to check trip ticket","7058","trip ticket selection Test","tests","Thu Aug 21 08:26:13 UTC 2025","failed","Thu Aug 21 08:26:20 UTC 2025","TestClass","mainpage_test","",""
