"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to order first class ticket","2024","Order first class ticket Test","tests","Thu Aug 21 07:35:06 UTC 2025","broken","Thu Aug 21 07:35:08 UTC 2025","TestClass","mainpage_test","",""
"Test to check trip ticket","7060","trip ticket selection Test","tests","Thu Aug 21 07:34:41 UTC 2025","failed","Thu Aug 21 07:34:48 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","1015","Links check Test","tests","Thu Aug 21 07:34:40 UTC 2025","broken","Thu Aug 21 07:34:41 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","2028","departure date selection Test","tests","Thu Aug 21 07:34:58 UTC 2025","broken","Thu Aug 21 07:35:00 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","2028","origin selection Test","tests","Thu Aug 21 07:34:54 UTC 2025","broken","Thu Aug 21 07:34:56 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","3037","passengers ticket selection Test","tests","Thu Aug 21 07:34:50 UTC 2025","failed","Thu Aug 21 07:34:54 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure and return dates","2025","departure and return dates selection Test","tests","Thu Aug 21 07:35:02 UTC 2025","broken","Thu Aug 21 07:35:04 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","1012","wrong format signup Test","tests","Thu Aug 21 07:35:23 UTC 2025","broken","Thu Aug 21 07:35:24 UTC 2025","TestClass","sign_in_test","",""
"Test to choose cancel departure and return dates","2025","cancel departure and return dates selection Test","tests","Thu Aug 21 07:35:04 UTC 2025","broken","Thu Aug 21 07:35:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check coin change","1105","Coin Change Test","tests","Thu Aug 21 07:34:33 UTC 2025","broken","Thu Aug 21 07:34:34 UTC 2025","TestClass","currency_test","",""
"Test to check incorrect booking code","1012","incorrect booking Test","tests","Thu Aug 21 07:35:24 UTC 2025","broken","Thu Aug 21 07:35:25 UTC 2025","TestClass","sign_in_test","",""
"Test to choose destination","2027","Destination selection Test","tests","Thu Aug 21 07:34:56 UTC 2025","broken","Thu Aug 21 07:34:58 UTC 2025","TestClass","mainpage_test","",""
"Test to check cookie customization and retrieval","4016","Cookie Customization Test","tests","Thu Aug 21 07:34:36 UTC 2025","broken","Thu Aug 21 07:34:40 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","2045","class ticket selection Test","tests","Thu Aug 21 07:34:48 UTC 2025","broken","Thu Aug 21 07:34:50 UTC 2025","TestClass","mainpage_test","",""
"Test to order economy ticket","5036","economy ticket order Test","tests","Thu Aug 21 07:35:09 UTC 2025","broken","Thu Aug 21 07:35:14 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","2024","business class ticket selection Test","tests","Thu Aug 21 07:35:16 UTC 2025","broken","Thu Aug 21 07:35:18 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","2024","switching location selection Test","tests","Thu Aug 21 07:35:18 UTC 2025","broken","Thu Aug 21 07:35:20 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","2024","premium class ticket selection Test","tests","Thu Aug 21 07:35:14 UTC 2025","broken","Thu Aug 21 07:35:16 UTC 2025","TestClass","mainpage_test","",""
"Test to check failed sign up with incorrect email","1015","failed signup Test","tests","Thu Aug 21 07:35:22 UTC 2025","broken","Thu Aug 21 07:35:23 UTC 2025","TestClass","sign_in_test","",""
"Test to choose return date","2027","return date selection Test","tests","Thu Aug 21 07:35:00 UTC 2025","broken","Thu Aug 21 07:35:02 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","1012","Country Change Test","tests","Thu Aug 21 07:34:34 UTC 2025","broken","Thu Aug 21 07:34:35 UTC 2025","TestClass","currency_test","",""
"Test to select multiple cities","1026","Multiple cities selection Test","tests","Thu Aug 21 07:35:20 UTC 2025","broken","Thu Aug 21 07:35:21 UTC 2025","TestClass","mainpage_test","",""
