"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to check switch origin and destination","11267","switching location selection Test","tests","Tue Aug 26 09:09:48 UTC 2025","broken","Tue Aug 26 09:09:59 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","11270","origin selection Test","tests","Tue Aug 26 09:07:51 UTC 2025","broken","Tue Aug 26 09:08:02 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","11262","Order first class ticket Test","tests","Tue Aug 26 09:09:00 UTC 2025","broken","Tue Aug 26 09:09:11 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","11267","departure date selection Test","tests","Tue Aug 26 09:08:14 UTC 2025","broken","Tue Aug 26 09:08:25 UTC 2025","TestClass","mainpage_test","",""
"Test to check coin change","11278","Coin Change Test","tests","Tue Aug 26 09:05:38 UTC 2025","broken","Tue Aug 26 09:05:50 UTC 2025","TestClass","currency_test","",""
"Test to check country change","11242","Country Change Test","tests","Tue Aug 26 09:05:50 UTC 2025","broken","Tue Aug 26 09:06:01 UTC 2025","TestClass","currency_test","",""
"Test to choose departure and return dates","11263","departure and return dates selection Test","tests","Tue Aug 26 09:08:37 UTC 2025","broken","Tue Aug 26 09:08:48 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","11263","class ticket selection Test","tests","Tue Aug 26 09:07:27 UTC 2025","broken","Tue Aug 26 09:07:39 UTC 2025","TestClass","mainpage_test","",""
"Test to check trip ticket","16305","trip ticket selection Test","tests","Tue Aug 26 09:07:11 UTC 2025","failed","Tue Aug 26 09:07:27 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","11262","cancel departure and return dates selection Test","tests","Tue Aug 26 09:08:48 UTC 2025","broken","Tue Aug 26 09:08:59 UTC 2025","TestClass","mainpage_test","",""
"Test to choose destination","11263","Destination selection Test","tests","Tue Aug 26 09:08:03 UTC 2025","broken","Tue Aug 26 09:08:14 UTC 2025","TestClass","mainpage_test","",""
"Test to choose return date","11267","return date selection Test","tests","Tue Aug 26 09:08:25 UTC 2025","broken","Tue Aug 26 09:08:37 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","20445","Links check Test","tests","Tue Aug 26 09:06:51 UTC 2025","broken","Tue Aug 26 09:07:11 UTC 2025","TestClass","mainpage_test","",""
"Test to order economy ticket","14276","economy ticket order Test","tests","Tue Aug 26 09:09:11 UTC 2025","broken","Tue Aug 26 09:09:25 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","11264","business class ticket selection Test","tests","Tue Aug 26 09:09:37 UTC 2025","broken","Tue Aug 26 09:09:48 UTC 2025","TestClass","mainpage_test","",""
"Test to check cookie customization and retrieval","48952","Cookie Customization Test","tests","Tue Aug 26 09:06:01 UTC 2025","failed","Tue Aug 26 09:06:50 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","12277","passengers ticket selection Test","tests","Tue Aug 26 09:07:39 UTC 2025","failed","Tue Aug 26 09:07:51 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","11264","premium class ticket selection Test","tests","Tue Aug 26 09:09:25 UTC 2025","broken","Tue Aug 26 09:09:37 UTC 2025","TestClass","mainpage_test","",""
