"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to order economy ticket","0","economy ticket order Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check failed sign up with incorrect email","0","failed signup Test","tests","Thu Aug 21 07:17:07 UTC 2025","broken","Thu Aug 21 07:17:07 UTC 2025","TestClass","sign_in_test","",""
"Test to choose departure date","0","departure date selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","0","business class ticket selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","0","switching location selection Test","tests","Thu Aug 21 07:17:07 UTC 2025","broken","Thu Aug 21 07:17:07 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","0","wrong format signup Test","tests","Thu Aug 21 07:17:07 UTC 2025","broken","Thu Aug 21 07:17:07 UTC 2025","TestClass","sign_in_test","",""
"Test to check trip ticket","0","trip ticket selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check incorrect booking code","0","incorrect booking Test","tests","Thu Aug 21 07:17:07 UTC 2025","broken","Thu Aug 21 07:17:07 UTC 2025","TestClass","sign_in_test","",""
"Test to choose departure and return dates","0","departure and return dates selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","0","Country Change Test","tests","Thu Aug 21 07:17:05 UTC 2025","broken","Thu Aug 21 07:17:05 UTC 2025","TestClass","currency_test","",""
"Test to choose origin","0","origin selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","0","cancel departure and return dates selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check coin change","0","Coin Change Test","tests","Thu Aug 21 07:16:50 UTC 2025","broken","Thu Aug 21 07:16:50 UTC 2025","TestClass","currency_test","",""
"Test to check cookie customization and retrieval","0","Cookie Customization Test","tests","Thu Aug 21 07:17:05 UTC 2025","broken","Thu Aug 21 07:17:05 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","0","Order first class ticket Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to select multiple cities","0","Multiple cities selection Test","tests","Thu Aug 21 07:17:07 UTC 2025","broken","Thu Aug 21 07:17:07 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","0","premium class ticket selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","0","Links check Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to choose destination","0","Destination selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","0","passengers ticket selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","0","class ticket selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
"Test to choose return date","0","return date selection Test","tests","Thu Aug 21 07:17:06 UTC 2025","broken","Thu Aug 21 07:17:06 UTC 2025","TestClass","mainpage_test","",""
