"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to check cookie customization and retrieval","49008","Cookie Customization Test","tests","Sat Aug 23 12:22:08 UTC 2025","failed","Sat Aug 23 12:22:57 UTC 2025","TestClass","mainpage_test","",""
"Test to order economy ticket","14275","economy ticket order Test","tests","Sat Aug 23 12:25:18 UTC 2025","broken","Sat Aug 23 12:25:32 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","11262","Order first class ticket Test","tests","Sat Aug 23 12:25:06 UTC 2025","broken","Sat Aug 23 12:25:17 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","11266","switching location selection Test","tests","Sat Aug 23 12:25:55 UTC 2025","broken","Sat Aug 23 12:26:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","20533","Links check Test","tests","Sat Aug 23 12:22:57 UTC 2025","broken","Sat Aug 23 12:23:18 UTC 2025","TestClass","mainpage_test","",""
"Test to choose destination","11268","Destination selection Test","tests","Sat Aug 23 12:24:09 UTC 2025","broken","Sat Aug 23 12:24:21 UTC 2025","TestClass","mainpage_test","",""
"Test to choose return date","11267","return date selection Test","tests","Sat Aug 23 12:24:32 UTC 2025","broken","Sat Aug 23 12:24:43 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","11265","departure date selection Test","tests","Sat Aug 23 12:24:21 UTC 2025","broken","Sat Aug 23 12:24:32 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","11268","class ticket selection Test","tests","Sat Aug 23 12:23:34 UTC 2025","broken","Sat Aug 23 12:23:45 UTC 2025","TestClass","mainpage_test","",""
"Test to check coin change","11400","Coin Change Test","tests","Sat Aug 23 12:21:45 UTC 2025","broken","Sat Aug 23 12:21:56 UTC 2025","TestClass","currency_test","",""
"Test to check trip ticket","16303","trip ticket selection Test","tests","Sat Aug 23 12:23:18 UTC 2025","failed","Sat Aug 23 12:23:34 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure and return dates","11263","departure and return dates selection Test","tests","Sat Aug 23 12:24:43 UTC 2025","broken","Sat Aug 23 12:24:55 UTC 2025","TestClass","mainpage_test","",""
"Test to check failed sign up with incorrect email","20465","failed signup Test","tests","Sat Aug 23 12:26:17 UTC 2025","broken","Sat Aug 23 12:26:37 UTC 2025","TestClass","sign_in_test","",""
"Test to select multiple cities","10267","Multiple cities selection Test","tests","Sat Aug 23 12:26:06 UTC 2025","broken","Sat Aug 23 12:26:16 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","11237","Country Change Test","tests","Sat Aug 23 12:21:56 UTC 2025","broken","Sat Aug 23 12:22:08 UTC 2025","TestClass","currency_test","",""
"Test to number of passengers","12277","passengers ticket selection Test","tests","Sat Aug 23 12:23:46 UTC 2025","failed","Sat Aug 23 12:23:58 UTC 2025","TestClass","mainpage_test","",""
"Test to check incorrect booking code","20453","incorrect booking Test","tests","Sat Aug 23 12:26:58 UTC 2025","broken","Sat Aug 23 12:27:18 UTC 2025","TestClass","sign_in_test","",""
"Test to choose origin","11267","origin selection Test","tests","Sat Aug 23 12:23:58 UTC 2025","broken","Sat Aug 23 12:24:09 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","20455","wrong format signup Test","tests","Sat Aug 23 12:26:38 UTC 2025","broken","Sat Aug 23 12:26:58 UTC 2025","TestClass","sign_in_test","",""
"Test to order business class ticket","11264","business class ticket selection Test","tests","Sat Aug 23 12:25:43 UTC 2025","broken","Sat Aug 23 12:25:55 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","11263","cancel departure and return dates selection Test","tests","Sat Aug 23 12:24:55 UTC 2025","broken","Sat Aug 23 12:25:06 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","11274","premium class ticket selection Test","tests","Sat Aug 23 12:25:32 UTC 2025","broken","Sat Aug 23 12:25:43 UTC 2025","TestClass","mainpage_test","",""
