"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to choose departure and return dates","11256","departure and return dates selection Test","tests","Thu Aug 21 09:13:29 UTC 2025","broken","Thu Aug 21 09:13:40 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","11260","cancel departure and return dates selection Test","tests","Thu Aug 21 09:13:40 UTC 2025","broken","Thu Aug 21 09:13:52 UTC 2025","TestClass","mainpage_test","",""
"Test to order economy ticket","14275","economy ticket order Test","tests","Thu Aug 21 09:14:03 UTC 2025","broken","Thu Aug 21 09:14:17 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","12272","passengers ticket selection Test","tests","Thu Aug 21 09:12:31 UTC 2025","failed","Thu Aug 21 09:12:43 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","11260","class ticket selection Test","tests","Thu Aug 21 09:12:20 UTC 2025","broken","Thu Aug 21 09:12:31 UTC 2025","TestClass","mainpage_test","",""
"Test to check cookie customization and retrieval","49337","Cookie Customization Test","tests","Thu Aug 21 09:10:53 UTC 2025","failed","Thu Aug 21 09:11:42 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","11259","Order first class ticket Test","tests","Thu Aug 21 09:13:52 UTC 2025","broken","Thu Aug 21 09:14:03 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","11261","switching location selection Test","tests","Thu Aug 21 09:14:40 UTC 2025","broken","Thu Aug 21 09:14:52 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","20936","Links check Test","tests","Thu Aug 21 09:11:42 UTC 2025","broken","Thu Aug 21 09:12:03 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","11263","departure date selection Test","tests","Thu Aug 21 09:13:06 UTC 2025","broken","Thu Aug 21 09:13:18 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","20449","wrong format signup Test","tests","Thu Aug 21 09:15:23 UTC 2025","broken","Thu Aug 21 09:15:44 UTC 2025","TestClass","sign_in_test","",""
"test to order premium ticket","11259","premium class ticket selection Test","tests","Thu Aug 21 09:14:18 UTC 2025","broken","Thu Aug 21 09:14:29 UTC 2025","TestClass","mainpage_test","",""
"Test to check failed sign up with incorrect email","20465","failed signup Test","tests","Thu Aug 21 09:15:03 UTC 2025","broken","Thu Aug 21 09:15:23 UTC 2025","TestClass","sign_in_test","",""
"Test to order business class ticket","11258","business class ticket selection Test","tests","Thu Aug 21 09:14:29 UTC 2025","broken","Thu Aug 21 09:14:40 UTC 2025","TestClass","mainpage_test","",""
"Test to choose return date","11262","return date selection Test","tests","Thu Aug 21 09:13:18 UTC 2025","broken","Thu Aug 21 09:13:29 UTC 2025","TestClass","mainpage_test","",""
"Test to check incorrect booking code","20447","incorrect booking Test","tests","Thu Aug 21 09:15:44 UTC 2025","broken","Thu Aug 21 09:16:04 UTC 2025","TestClass","sign_in_test","",""
"Test to check country change","11237","Country Change Test","tests","Thu Aug 21 09:10:41 UTC 2025","broken","Thu Aug 21 09:10:52 UTC 2025","TestClass","currency_test","",""
"Test to choose destination","11264","Destination selection Test","tests","Thu Aug 21 09:12:55 UTC 2025","broken","Thu Aug 21 09:13:06 UTC 2025","TestClass","mainpage_test","",""
"Test to check coin change","11054","Coin Change Test","tests","Thu Aug 21 09:10:30 UTC 2025","broken","Thu Aug 21 09:10:41 UTC 2025","TestClass","currency_test","",""
"Test to select multiple cities","10260","Multiple cities selection Test","tests","Thu Aug 21 09:14:52 UTC 2025","broken","Thu Aug 21 09:15:02 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","11266","origin selection Test","tests","Thu Aug 21 09:12:44 UTC 2025","broken","Thu Aug 21 09:12:55 UTC 2025","TestClass","mainpage_test","",""
"Test to check trip ticket","16302","trip ticket selection Test","tests","Thu Aug 21 09:12:03 UTC 2025","failed","Thu Aug 21 09:12:20 UTC 2025","TestClass","mainpage_test","",""
