"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to number of passengers","12275","passengers ticket selection Test","tests","Tue Aug 26 09:16:45 UTC 2025","failed","Tue Aug 26 09:16:57 UTC 2025","TestClass","mainpage_test","",""
"Test to select multiple cities","10265","Multiple cities selection Test","tests","Tue Aug 26 09:19:05 UTC 2025","broken","Tue Aug 26 09:19:15 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","20489","Links check Test","tests","Tue Aug 26 09:15:56 UTC 2025","broken","Tue Aug 26 09:16:17 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","11267","origin selection Test","tests","Tue Aug 26 09:16:57 UTC 2025","broken","Tue Aug 26 09:17:08 UTC 2025","TestClass","mainpage_test","",""
"Test to check cookie customization and retrieval","48980","Cookie Customization Test","tests","Tue Aug 26 09:15:07 UTC 2025","failed","Tue Aug 26 09:15:56 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","11266","cancel departure and return dates selection Test","tests","Tue Aug 26 09:17:54 UTC 2025","broken","Tue Aug 26 09:18:05 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","11264","business class ticket selection Test","tests","Tue Aug 26 09:18:42 UTC 2025","broken","Tue Aug 26 09:18:54 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","11268","departure date selection Test","tests","Tue Aug 26 09:17:20 UTC 2025","broken","Tue Aug 26 09:17:31 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","11267","premium class ticket selection Test","tests","Tue Aug 26 09:18:31 UTC 2025","broken","Tue Aug 26 09:18:42 UTC 2025","TestClass","mainpage_test","",""
"Test to choose return date","11268","return date selection Test","tests","Tue Aug 26 09:17:31 UTC 2025","broken","Tue Aug 26 09:17:42 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","11240","Country Change Test","tests","Tue Aug 26 09:14:55 UTC 2025","broken","Tue Aug 26 09:15:07 UTC 2025","TestClass","currency_test","",""
"Test to choose destination","11266","Destination selection Test","tests","Tue Aug 26 09:17:08 UTC 2025","broken","Tue Aug 26 09:17:20 UTC 2025","TestClass","mainpage_test","",""
"Test to check coin change","11330","Coin Change Test","tests","Tue Aug 26 09:14:44 UTC 2025","broken","Tue Aug 26 09:14:55 UTC 2025","TestClass","currency_test","",""
"Test to check failed sign up with incorrect email","20470","failed signup Test","tests","Tue Aug 26 09:19:16 UTC 2025","broken","Tue Aug 26 09:19:37 UTC 2025","TestClass","sign_in_test","",""
"Test to check trip ticket","16301","trip ticket selection Test","tests","Tue Aug 26 09:16:17 UTC 2025","failed","Tue Aug 26 09:16:33 UTC 2025","TestClass","mainpage_test","",""
"Test to order economy ticket","14280","economy ticket order Test","tests","Tue Aug 26 09:18:17 UTC 2025","broken","Tue Aug 26 09:18:31 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","11269","switching location selection Test","tests","Tue Aug 26 09:18:54 UTC 2025","broken","Tue Aug 26 09:19:05 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure and return dates","11270","departure and return dates selection Test","tests","Tue Aug 26 09:17:43 UTC 2025","broken","Tue Aug 26 09:17:54 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","11265","class ticket selection Test","tests","Tue Aug 26 09:16:33 UTC 2025","broken","Tue Aug 26 09:16:45 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","11264","Order first class ticket Test","tests","Tue Aug 26 09:18:05 UTC 2025","broken","Tue Aug 26 09:18:17 UTC 2025","TestClass","mainpage_test","",""
