"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to check coin change","1151","Coin Change Test","tests","Thu Aug 21 07:25:06 UTC 2025","broken","Thu Aug 21 07:25:07 UTC 2025","TestClass","currency_test","",""
"Test to check links on the main page","1016","Links check Test","tests","Thu Aug 21 07:25:13 UTC 2025","broken","Thu Aug 21 07:25:14 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","2025","Order first class ticket Test","tests","Thu Aug 21 07:25:40 UTC 2025","broken","Thu Aug 21 07:25:42 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure date","2028","departure date selection Test","tests","Thu Aug 21 07:25:31 UTC 2025","broken","Thu Aug 21 07:25:33 UTC 2025","TestClass","mainpage_test","",""
"Test to choose destination","2028","Destination selection Test","tests","Thu Aug 21 07:25:29 UTC 2025","broken","Thu Aug 21 07:25:31 UTC 2025","TestClass","mainpage_test","",""
"Test to check switch origin and destination","2026","switching location selection Test","tests","Thu Aug 21 07:25:51 UTC 2025","broken","Thu Aug 21 07:25:53 UTC 2025","TestClass","mainpage_test","",""
"Test to check trip ticket","7060","trip ticket selection Test","tests","Thu Aug 21 07:25:14 UTC 2025","failed","Thu Aug 21 07:25:22 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","2025","business class ticket selection Test","tests","Thu Aug 21 07:25:49 UTC 2025","broken","Thu Aug 21 07:25:51 UTC 2025","TestClass","mainpage_test","",""
"Test to select multiple cities","1027","Multiple cities selection Test","tests","Thu Aug 21 07:25:53 UTC 2025","broken","Thu Aug 21 07:25:55 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","2026","cancel departure and return dates selection Test","tests","Thu Aug 21 07:25:38 UTC 2025","broken","Thu Aug 21 07:25:40 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure and return dates","2025","departure and return dates selection Test","tests","Thu Aug 21 07:25:36 UTC 2025","broken","Thu Aug 21 07:25:38 UTC 2025","TestClass","mainpage_test","",""
"Test to choose return date","2028","return date selection Test","tests","Thu Aug 21 07:25:33 UTC 2025","broken","Thu Aug 21 07:25:35 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","2028","origin selection Test","tests","Thu Aug 21 07:25:27 UTC 2025","broken","Thu Aug 21 07:25:29 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","3038","passengers ticket selection Test","tests","Thu Aug 21 07:25:24 UTC 2025","failed","Thu Aug 21 07:25:27 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","1013","wrong format signup Test","tests","Thu Aug 21 07:25:56 UTC 2025","broken","Thu Aug 21 07:25:57 UTC 2025","TestClass","sign_in_test","",""
"Test to check class","2069","class ticket selection Test","tests","Thu Aug 21 07:25:22 UTC 2025","broken","Thu Aug 21 07:25:24 UTC 2025","TestClass","mainpage_test","",""
"Test to check failed sign up with incorrect email","1017","failed signup Test","tests","Thu Aug 21 07:25:55 UTC 2025","broken","Thu Aug 21 07:25:56 UTC 2025","TestClass","sign_in_test","",""
"Test to check incorrect booking code","1013","incorrect booking Test","tests","Thu Aug 21 07:25:57 UTC 2025","broken","Thu Aug 21 07:25:58 UTC 2025","TestClass","sign_in_test","",""
"Test to check cookie customization and retrieval","4017","Cookie Customization Test","tests","Thu Aug 21 07:25:09 UTC 2025","broken","Thu Aug 21 07:25:13 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","2025","premium class ticket selection Test","tests","Thu Aug 21 07:25:47 UTC 2025","broken","Thu Aug 21 07:25:49 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","1013","Country Change Test","tests","Thu Aug 21 07:25:08 UTC 2025","broken","Thu Aug 21 07:25:09 UTC 2025","TestClass","currency_test","",""
"Test to order economy ticket","5035","economy ticket order Test","tests","Thu Aug 21 07:25:42 UTC 2025","broken","Thu Aug 21 07:25:47 UTC 2025","TestClass","mainpage_test","",""
